# Copyright (c) 2014 by Michael Zahniser
#
# Endless Sky is free software: you can redistribute it and/or modify it under the
# terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later version.
#
# Endless Sky is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A
# PARTICULAR PURPOSE.  See the GNU General Public License for more details.

#outfit "EPS Heat Sink"	
#outfit "Impulse Supercooler"
#outfit "EPS Supercooler"
#outfit "Subspace Heat Sink"
#outfit "Targeting Jammer"
#outfit "Heavy Targeting Jammer"

outfit "Warp Assembly"
	category "Systems"
	cost 70000
	thumbnail "outfit/warpcore"
	"mass" 20
	"outfit space" 0
	"jump speed" 1
	"hyperdrive" 1
	description "The warp assembly includes the warp core, warp coils, and all of the equipment in between."
	
outfit "Quantum Slipstream Drive"
	category "Systems"
	cost 900000
	thumbnail "outfit/hyperdrive"
	"mass" 30
	"outfit space" -30
	"scram drive" .2
	"hyperdrive" 1
	description "Quantum Slipstream Drives are mounted coaxial to warp cores and give ships the ability to travel exremely quickly through space by catapulting the ship into a quantum slipstream tunnel."

outfit "Transwarp Manifold"
	category "Systems"
	cost 1800000
	thumbnail "outfit/jump drive"
	"mass" 25
	"outfit space" -25
	"jump speed" .3
	"jump drive" 10
	"jump range" 500
	description "Transwarp Coils sold by the federation are reversed engineered Borg technology, allowing ships to instantaneously jump from one point in space to another"

outfit "Antimatter Storage Pod"
	category "Systems"
	cost 20000
	thumbnail "outfit/fuel pod"
	"mass" 5
	"outfit space" -5
	"fuel capacity" 100
	description "Stores extra antimatter, allowing your warp core and warp drive to function for longer without refuelling"

outfit "Neutronium Plating"
	category "Systems"
	cost 75000
	thumbnail "outfit/interference plating"
	"mass" 10
	"outfit space" -5
	"scan interference" .75
	description "If you're in the habit of carrying illegal cargo or outfits, this plating increases the odds that a scan of your ship will fail to detect it. The more of these you install, the better your chances of evading detection. They won't keep anyone from noticing if you're flying an unlicensed ship, however."

outfit "Type 3 Phaser"
	category "Hand to Hand"
	cost 800
	thumbnail "outfit/laser rifle"
	"capture attack" .6
	"capture defense" .8
	"unplunderable" 1
	description "A Type 3 Phaser is a handheld phaser rifle with a multitude of settings. One of the best standard-issue federation handheld weapons"
	
outfit "Photon Grenades"
	category "Hand to Hand"
	cost 12000
	thumbnail "outfit/fragmentation grenades"
	"capture attack" 1.3
	"capture defense" .3
	"unplunderable" 1
	description "Photon Grenades are basically miniature handheld photon torpedoes. Throw them at someone and they cease to exist."
	
outfit "Force Field Generator"
	category "Hand to Hand"
	cost 76000
	thumbnail "outfit/security station"
	"capture defense" 3.4
	"unplunderable" 1
	description "A deflector shield generator specifically designed to block corridors with force fields."
	
outfit "Plasma Grenades"
	category "Hand to Hand"
	cost 92000
	thumbnail "outfit/nerve gas"
	"capture attack" 2.8
	"capture defense" .8
	"unplunderable" 1
	description "This is a highly volatile weapon for hand to hand combat when boarding an enemy ship. Because of their nasty habit of starting plasma fires, these are banned in most places."
	
outfit "Local Map"
	category "Special"
	cost 1000
	thumbnail "outfit/map"
	"map" 12000
	description "This data chip contains complete information on the twelve star systems closest to this one: planets, ports, governments, trade prices, available services, etc. You can get all the same information just by exploring those systems yourself, but having a map can save you from making wrong turns if you are trying to travel through new territory to reach a certain system quickly."

outfit "Cloaking Device (Modded)"
	category "Unique"
	cost 12000
	thumbnail "outfit/cloakingdevice"
	"mass" 10
	"outfit space" -10
	"cloak" .01
	"cloaking energy" 1
	"cloaking fuel" 0
	description "You're sure the cloaking device is here somewhere, but you can't see it."

outfit "Cloaking Device"
	category "Unique"
	cost 12000
	"mass" 10
	"outfit space" -10
	"cloak" .01
	"cloaking energy" 1
	"cloaking fuel" 0
	description "You're sure the cloaking device is here somewhere, but you can't see it."

outfit "Ablative Armor"
	category "Systems"
	cost 50000
	thumbnail "outfit/interference plating"
	"mass" 4
	"outfit space" -4
	"hull repair rate" 1
	description "Ablative armor was a type of protective hull armor used on starships, which possessed a capability for rapidly dissipating the energy impacts from directed energy weapon fire. Starfleet began use of ablative armor technology by 2371."

outfit "Spore Drive"
	category "Systems"
	cost 1800000
	thumbnail "outfit/jump drive"
	"mass" 25
	"outfit space" -25
	"jump speed" 1
	"jump drive" 10
	"jump range" 5000
	description "The displacement-activated spore hub drive, commonly shortened to spore drive or s-drive, was an organic propulsion system the Federation experimented with during the 2240s and 2250s. The technology used mycelium spores harvested from Prototaxites stellaviatori to "jump" or "leap" across the mycelial network. During such jumps, the ships were not in normal space but in the mycelial plane."
